Rumor,Lable,sentiment
"No patient zero , no coronavirus 😂😂 . living in North Korea is an XXX extreme sport 🙌🙌🈯.
","conspiracy
",
"Did China Close First Lab To Sequence Covid-19 Out Of Fear It Would Lose Bat Soup Narrative?
","conspiracy
",
"81% Of South Korean End Of Days Worshippers Test Positive For Coronavirus.
","conspiracy
",
"Shock Video: Food Hoarding Begins at Costco in New York Over Coronavirus Fears.
","conspiracy
",
"Watch: President Trump Considers Closing Southern Border Over Coronavirus Outbreak.
","conspiracy
",
"Irans Official Covid-19 Infected Rises To Nearly 600 As US Slightly Eases Sanctions.
","conspiracy
",
"“This Is A Nightmare”: London’s Worst-Case Plan For Coronavirus Includes Giant Morgue In Hyde Park.
","conspiracy
",
"Shock Video: Food Hoarding Begins at Costco in New York Over Coronavirus Fears Everyone just loves a sale at Costco!
","conspiracy
",
"Corona Will Kill Millions & Crater the World Economy.
","political/bias
",
"AOC Melts Down Over Pence Heading Coronavirus Response…Gets DESTROYED For Misusing The Word ‘Literally’ – enVolve.
","unreliable
",
"Coronavirus is doing more to save us from climate change than every Republican politician combined.
","unreliable
",
"Dems Are Lying About Coronavirus & #038 Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",
"Irans Official Covid-19 Infected Rises To Nearly 600 (* 10000=60000) As US Slightly Eases Sanctions.
","conspiracy
",
"Report: Outbreak of idiocy spreading 10,000 times faster than coronavirus.
","unreliable
",
"Trump Exposes ""Dishonest"" Media Critics, Insists ""Were Super Prepared"" To Handle COVID-19 Outbreaks.
","conspiracy
",
"CDC Takes Responsibility for Dementia Donnie’s Huge Mistake Identifying First Coronavirus as a Woman.
","unreliable
",
"China Orders Owners Of Closed Factories To Boost Electricity Usage, Pretend Economy Is Back To Normal.
","conspiracy
",
"China Reports Catastrophic Data: PMIs Crash To Record Low, Confirming Coronavirus Collapse.
","conspiracy
",
"China Has Ground To A Halt: ""On The Ground"" Indicators Confirm Worst-Case Scenario.
","conspiracy
",
"Three new UK cases of #CoronaVirus confirmed.
","unreliable
",
"Yeay 🇮🇱.
","unreliable
",
"US Spy Agencies Monitor Covid-19 Spread, Warn Of Threat To Indias 1BN+ Population.
","conspiracy
",
"TV Doctors Defend Trump, Slam Media For Coronavirus Coverage.
","unreliable
",
"Media Claims Trump Called Coronavirus A ‘Hoax.’ Here’s What He Actually Said.
","political/bias
",
"Dems Keep Blasting Trumps Coronavirus Plan, But Have No Clue What To Do Themselves.
","unreliable
",
"DONT MISS.
","conspiracy
",
"Reality check - Not good. . Trunews has a very sobering report from a California Rep. Jo…
","conspiracy
",
"WTF is going on with CDC!
","conspiracy
",
"Dems Are Lying About Coronavirus Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",
"#INFO #HEALTH #Economics ‘Coronavirus fears drop net worth of 500 richest people in the world by $444BILLION ‘.
","unreliable
",
"If Gun Murders Are Epidemic, Why Does NYT Call 10,000 Late-Term Abortions Exceedingly Rare?
","unreliable
",
"MULTIPLE community outbreaks tracking in California as coronavirus set to explode across USA beginning next week.
","unreliable
",
"This Is A Nightmare: Londons Worst-Case Plan For Coronavirus Includes Giant Morgue In Hyde Park.
","conspiracy
",
"The Cabal is collaborating to hype this and sink Trumps roaring economy.
","unreliable
",
"SAD: Fake News Media Attempts to Re-Brand Chinese Coronavirus Pandemic as the Trumpvirus.
","unreliable
",
"Afghanistan: Imams say Qur’an verses worn on clothes can prevent coronavirus - WOULD RATHER HAVE CORONAVIRUS.
","conspiracy
",
"Democratic Congressman Threatens Trump Jr. with a Serious Altercation Over Coronavirus Comments.
","unreliable
",
"Coronavirus Cant Explain Tanking Stock Market, But Bernies Success Can: Economist.
","unreliable
",
"Kim Jong Un Threatens To Execute Politburo Members If They Fail To Contain Coronavirus Outbreak.
","conspiracy
",
"See There’s Aways An Upside To A Pandemic!😁. ☮️💙😎.
","unreliable
",
"First Coronavirus Death in America Confirmed in Washington State.
","unreliable
",
"The Democrat Party’s radicalism.
","political/bias
",
"Sanders Mocks Pence & #038 Millions of Americans Christian Faith with Offensive Coronavirus Comment.
","unreliable
",
"Protect yourself.
","unreliable
",
"By Monica Showalter: Jake Tapper calls out Democrat Ted Lieu for lying about Trump and coronavirus.
","political/bias
",
"I guess it is the end of days for them.....#irony.
","conspiracy
",
"Most #viral News Now: Amazing NASA images show how pollution has CLEARED over China.
","unreliable
",
"#Coronavirus - Its Time To Press Your Government To React Faster.
","political/bias
",
"I Knew My Number Was Up - An American Coronavirus Patient Speaks Out.
","conspiracy
",
"PLRASE🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏DO IT AND SEE HOW IT WIRKS! 😜😷😄👍👋👋😉.
","conspiracy
",
"Over-60s urged to avoid crowds as coronavirus panic spreads.
","unreliable
",
"WUHAN USA ""I Knew My Number Was Up"" - An American Coronavirus Patient Speaks Out.
","conspiracy
",
"Amazing how how much the air has cleared due to #COVID2019 #CoronaVirusUpdate.
","unreliable
",
"Four Key Points About Coronavirus And The Democrats’ Political Games #news #politics…
","political/bias
",
"China can do Coronavirus tests in 15 minutes. The US takes up to four days! Ridiculous!
","unreliable
",
"Sanders Mocks Pence & Millions of Americans Christian Faith with Offensive #Coronavirus Comment.
","unreliable
",
"Global warming is fixed.
","unreliable
",
"ANN ALTHOUSE: The deceptiveness of Politico’s claim that Trump called the coronavirus “a hoax.” “T…
","political/bias
",
"Rush Limbaugh Scorches Media For Politicizing Coronavirus: ‘You Ought To Damn Well Be Ashamed’.
","conspiracy
",
"‘BDS THIS’: Israel Makes ‘Exciting Breakthrough’ In Race For Coronavirus Vaccine.
","political/bias
",
"I will pay any price for drugs and vaccines to clear all my China viruses. If I dont have…
","unreliable
",
"Secretive military base outside Paris hit by coronavirus, French defense minister confirms — RT World News.
","unreliable
",
"Iranian Deputy Health Minister Infected by Coronavirus After Briefing Press on Response - Big League Politics.
","unreliable
",
"Dems Are Lying About Coronavirus & #038 Trump Slashing CDC, And Even the AP& #8217 s Calling Them Out.
","unreliable
",
"CNN is among the more aggressive mainstream left political activist organizations.
","unreliable
",
"Sanders Mocks Pence & #038 Millions of Americans& #8217 Christian Faith with Offensive Coronavirus Comment.
","unreliable
",
"Dr. Aylward on the need to slow transmission.
","political/bias
",
"#DEMOCRATS Keep Blasting Trumps Coronavirus Plan, But Have No Clue Or Offer What To Do Themselves !
","unreliable
",
"Already happening according to Zerohedge.
","conspiracy
",
"No, Its Not the Corona Beer Virus. Lawd. #NewsandPolitics.
","political/bias
",
"Dems Are Lying About Coronavirus & Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",
"North Koreas First Confirmed Coronavirus Patient Shot Dead.
","conspiracy
",
"Leaked documents reveal Wuhan coronavirus infections up to 52 times HIGHER than official Chinese figures.
","conspiracy
",
"First Death in Washington from Coronavirus, President Trump Says Expect More Cases #Culture…
","political/bias
",
"Outrageous New York Times Piece Calls for Coronavirus To Be Named After Trump.
","unreliable
",
"China reported 44 deaths and 327 new cases on 28 February, which is the lowest tally in over a month.
","unreliable
",
"CDC Official Helping Spook Trumps Economy with Coronavirus Fears Is Rod Rosensteins Sister.
","unreliable
",
"Elizabeth Warren Rolls Out Coronavirus Plan That De-Funds Border Security - Shes a Moron.
","unreliable
",
"CNNs Michael Smerconish is slammed for comparing Senator Bernie Sanders to CORONAVIRUS - Daily Mail.
","unreliable
",
"As Coronavirus Rips Through Italy, Lets Revisit The ""Political Correctness"" That May Have Helped Speed it Along.
","unreliable
",
"Pope taken ill day after showing solidarity with coronavirus sufferers.
","unreliable
",
"just couldnt help yourselves eh? God fucking forbid they have a piece of h…
","unreliable
",
"This Is Serious - Virus Hunter Who Discovered Ebola Discusses Worst-Case Scenario For Coronavirus.
","conspiracy
",
"Coronavirus Reappearing Weeks Later In Discharged Patients.
","conspiracy
",
"Coronavirus outbreak could send the US economy into RECESSION - Daily Mail.
","unreliable
",
"Oregon Officials Confirm Third Coronavirus Case “Of Unknown Origin” Risk Of “Community Outbreak” Is High.
","conspiracy
",
"February 29 Updates on COVID-19 Pandemic.
","unreliable
",
"These people are stupid.
","unreliable
",
"Trumps Decisive Actions Helped Save Lives During Coronavirus Epidemic, Experts Admit News and Politics.
","political/bias
",
"✨1️⃣7️⃣✨ Message that #Patriots are in control and the #Coronavid19 #coronavirus is no real threat..?
","unreliable
",
"425 billion reasons. #Herätys #QSentMe #QAnon #Redpill #GreatAwakening #WWG1WGAWORLDWIDE #UnitedNotDivided #QmapPub.
","conspiracy
",
"Dems Are Lying About Coronavirus, Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",
"Man kept in coronavirus quarantine cant stop coughing, taking water from 3-year-old daughter.
","unreliable
",
"81% Of South Korean ‘End Of Days’ Worshippers Test Positive For Coronavirus.
","conspiracy
",
"Five Things You Probably Dont Know About the Coronavirus #AAG #AAG2020.
","political/bias
",
"Fortify your immune system. I suggest Silver Immune Gargle from InfoWars Store. #CoronaVirusUpdate.
","conspiracy
",
"Americans Ditching Corona Beer Over Virus Concerns.
","unreliable
",
"2020 Tokyo Olympics Will Proceed as Scheduled Despite Concerns About Coronavirus.
","unreliable
",
"China: Rise, Fall and Re-Emergence as a Global Power - Global Research.
","conspiracy
",
"Iran Blasts US Offer To Help Fight Coronavirus As ""Political-Psychological Game"".
","conspiracy
",
"Fighting #Coronavirus Means ‘Keeping Sick People Out,’ Chief Says.
","political/bias
",
"Naw, it’s fake.
","unreliable
",
"LOL. Not these guys though... (nor me).
","unreliable
",
"Chinese military website: Wuhan #Coronavirus is manmade by the U.S.
","unreliable
",
"Coronavirus: How To Protect Yourself Against The Deadly Disease.
","clickbait
",
"New York Stock Exchange considers shutting its trading floor amid coronavirus concerns Daily Mail Online.
","unreliable
",
"CDC has confirmed a pandemic of stupid..
","unreliable
",
"Head of the WHO seems to disagree with you.
","political/bias
",
"Coronavirus fears drop net worth of 500 richest by $444BILLION.
","unreliable
",
"First Australian death from #coronavirus #travel #healthcare #CoronavirusOutbreak #Covid19.
","unreliable
",
"Warren, Asked About Coronavirus, Attacks Trump’s ‘Racist Wall’.
","political/bias
",
"Bill Gates: Coronavirus may be ‘once-in-a-century pathogen we’ve been worried about’.
","conspiracy
",
"It seems the jury is still out.
","unreliable
",
"WHO raises global coronavirus threat level to very high #news #health.
","unreliable
",
"Holly Molly Batman ! 81% Of South Korean End Of Days Worshipers Test Positive For #coronavirusus.
","conspiracy
",
"So this is how we stop climate change. Shut down the factories that produce shit that we dont need.
","unreliable
",
"Mark Levin Blasts Democrats For Dithering With Impeachment As Coronavirus Spread #NewsandPolitics.
","political/bias
",
"Apparently China controlled the Port of Long Beach. Until Trump became president, that is.
","political/bias
",
"Dont Test, Dont Tell! #Coronavirus #Covid19 #SARSCoV2.
","conspiracy
",
"President Trump Scores Victory For U.S. In On-Going China Trade War Farmers Get Major Boost #SuperTrump.
","unreliable
",
"Dont visit your GP if you think you have coronavirus - Daily Mail.
","unreliable
",
"Study finds that Coronavirus could survive up to NINE DAYS outside the body - Daily Mail.
","unreliable
",
"Coronavirus cruise ship survivor, 66, reveals the deadly disease hits hard and fast - Daily Mail.
","unreliable
",
"New Jersey hospital isolates patient suspected of having the coronavirus - Daily Mail.
","unreliable
",
"#France Bans gatherings of more than 5,000 as thousands face testing in #coronavirus-hit #Iran.
","unreliable
",
"CDC Official Helping Spook Trump& #8217 s Economy with Coronavirus Fears Is Rod Rosenstein& #8217 s Sister.
","unreliable
",
"Fears for 50 at nursing facility amid first US coronavirus death as Trump says not to panic Daily Mail Online.
","unreliable
",
"CDC did this: Dont Test, Dont Tell!"".
","conspiracy
",
"Italy police raid Venice mosque during prayer for ignoring coronavirus rules.
","unreliable
",
"I never knew of this new SK religion until this virus popped up.
","conspiracy
",
"Well, thats one approach and probably more effective than tax-cuts and building a wall...
","unreliable
",
"As The Coronavirus Spreads, Survival Gear Keeps Selling Out!
","unreliable
",
"WHO Elevates Coronavirus Threat to Highest Level.
","conspiracy
",
"CORONAVIRUS IS JUST THE TIP OF THE ICEBERG IN THE WAR AGAINST US.
","conspiracy
",
"Its Not Coronavirus We Should Worry About, Its What Might Come After It Belmont Club.
","political/bias
",
"Who is Uninformed and Uneducated About China and its Virus?
","unreliable
",
"Dr. Zhang Wenhong believed the Novel Coronavirus originated in Wuhan.
","unreliable
",
"subscribe to our YouTube channel(Mr. Community)devoted to helping our homeless and less for…
","unreliable
",
"Hes hiding out from the corona virus — which is flowing into Italy through its unprotected borders.
","unreliable
",
"Some people are vindictive af.
","unreliable
",
"Thank you President Trump!
","political/bias
",
"Health chiefs fear TEN PERCENT of Brits could be hospitalised with Coronavirus - Express.
","unreliable
",
"Video: Father Fresh Out Of Coronavirus Quarantine Repeatedly Coughs On Air.
","conspiracy
",
"Study Shows People Can Transmit Coronavirus Without Showing Symptoms.
","conspiracy
",
"Breaking: First Coronavirus Death Confirmed in U.S.
","conspiracy
",
"More on the lefty hoax liars. ... Media Claims Trump Called Coronavirus A ‘Hoax.’ Here’s What He Actually Said.
","political/bias
",
"#pol #politics #news Sun Mar 1 02:36:12 2020 < 643f1644> <.
","conspiracy
",
"Depopulation for Profit? Bill Gates funded the PIRBRIGHT institute, which owns the patent on coronavirus.
","unreliable
",
"WHOA #Outbreak.
","conspiracy
",
"Sharing first hand value experience to empower others. #sharingiscaring.
","unreliable
",
"Coronavirus could destroy Donald Trump’s reelection bid according to top expert.
","unreliable
",
"Elizabeth Warren Rolls Out Coronavirus Plan That De-Funds Border Security You’re finished WITCH!!!
","unreliable
",
"Instapundit »» CORONAVIRUS: Mainland China reports 573 new coronavirus cases on Feb. 29. The coronavirus outbre…
","political/bias
",
"China orders school books be destroyed and reprinted with thoughts of hero Xi Jinping.
","unreliable
",
"Inquiring minds want to know...
","conspiracy
",
"#Republicans Walk Out of #Coronavirus Briefing After #Democrats Play Politics With the Crisis.
","political/bias
",
"CORONAVIRUS CRISIS: Steven Mosher – The Phaser.
","conspiracy
",
"#Oregon Officials Confirm Third #Coronavirus Case ""Of Unknown Origin"" Risk Of ""Community Outbreak"" Is High.
","conspiracy
",
"Jimmy Lais Warning About China #TheRosettReport.
","political/bias
",
"U.S. Military Prepares For Coronavirus Pandemic.
","unreliable
",
"CORONAVIRUS UPDATE: Some Covid-19 speculations….
","political/bias
",
"Two New Community-Spread #Coronavirus Cases Found In Northern #California, #Oregon.
","political/bias
",
"Coronavirus Deaths, Infections EXPLODE In Iran, Iranian Official Admits Iran Is Lying.
","unreliable
",
"BREAKING: U.S. Adds Nations To Travel Restrictions As Trump Assures Nations On Coronavirus.
","unreliable
",
"Does China Outspend US on Defense? - Godfree Roberts.
","political/bias
",
"Coronavirus symptoms: How to test for the virus as 23 cases confirmed in the UK - Express.
","unreliable
",
"The deadly cruise infection.
","unreliable
",
"Numbers Show Coronavirus Appears Far Less Deadly Than Flu, But Govt, Media Keep Promoting Panic.
","unreliable
",
"Miles Guo: The global economy will be negative growth, and it’s not just China!
","unreliable
",
"Amazing NASA images show how pollution has CLEARED over China Daily Mail Online.
","unreliable
",
