Rumor,Lable,sentiment
"No patient zero , no coronavirus 😂😂 . living in North Korea is an XXX extreme sport 🙌🙌🈯.
","conspiracy
",Neutral-Neutral
"Did China Close First Lab To Sequence Covid-19 Out Of Fear It Would Lose Bat Soup Narrative?
","conspiracy
",Negative-Anger
"81% Of South Korean End Of Days Worshippers Test Positive For Coronavirus.
","conspiracy
",Neutral-Neutral
"Shock Video: Food Hoarding Begins at Costco in New York Over Coronavirus Fears.
","conspiracy
",Neutral-Fear
"Watch: President Trump Considers Closing Southern Border Over Coronavirus Outbreak.
","conspiracy
",Neutral-Neutral
"Irans Official Covid-19 Infected Rises To Nearly 600 As US Slightly Eases Sanctions.
","conspiracy
",Neutral-Neutral
"“This Is A Nightmare”: London’s Worst-Case Plan For Coronavirus Includes Giant Morgue In Hyde Park.
","conspiracy
",Negative-Sadness
"Shock Video: Food Hoarding Begins at Costco in New York Over Coronavirus Fears Everyone just loves a sale at Costco!
","conspiracy
",Negative-Surprise
"Corona Will Kill Millions & Crater the World Economy.
","political/bias
",Negative-Neutral
"AOC Melts Down Over Pence Heading Coronavirus Response…Gets DESTROYED For Misusing The Word ‘Literally’ – enVolve.
","unreliable
",Negative-Anger
"Coronavirus is doing more to save us from climate change than every Republican politician combined.
","unreliable
",Positive-Neutral
"Dems Are Lying About Coronavirus & #038 Trump Slashing CDC, And Even the APs Calling Them Out.
","unreliable
",Negative-Anger
"Irans Official Covid-19 Infected Rises To Nearly 600 (* 10000=60000) As US Slightly Eases Sanctions.
","conspiracy
",Neutral-Neutral
"Report: Outbreak of idiocy spreading 10,000 times faster than coronavirus.
","unreliable
",Negative-Neutral
"Trump Exposes ""Dishonest"" Media Critics, Insists ""Were Super Prepared"" To Handle COVID-19 Outbreaks.
","conspiracy
",Negative-Neutral
"CDC Takes Responsibility for Dementia Donnie’s Huge Mistake Identifying First Coronavirus as a Woman.
","unreliable
",Neutral-Neutral
"China Orders Owners Of Closed Factories To Boost Electricity Usage, Pretend Economy Is Back To Normal.
","conspiracy
",Neutral-Neutral
"China Reports Catastrophic Data: PMIs Crash To Record Low, Confirming Coronavirus Collapse.
","conspiracy
",Neutral-Neutral
"China Has Ground To A Halt: ""On The Ground"" Indicators Confirm Worst-Case Scenario.
","conspiracy
",Neutral-Neutral
"Three new UK cases of #CoronaVirus confirmed.
","unreliable
",Neutral-Neutral
"Yeay 🇮🇱.
","unreliable
",Neutral-Neutral
